Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude,City
1100,417,65,2,1,0,1,0,0,0,0,Limão,rent,apartment,-23.5013134,-46.673401,São Paulo
18000,1400,208,3,4,3,3,0,0,1,0,Vila Mariana,rent,apartment,-23.5916985,-46.6341065,São Paulo
5500,2784,160,3,4,3,3,0,0,1,0,Vila Mariana,rent,apartment,-23.5905251,-46.6250238,São Paulo
2300,650,45,2,2,1,1,1,1,0,0,Perdizes,rent,apartment,-23.535978,-46.667542,São Paulo
1550,510,55,2,2,1,1,0,0,0,0,Sacomã,rent,apartment,-23.607665,-46.600494,São Paulo
1400,570,60,2,2,1,1,0,0,1,0,Sacomã,rent,apartment,-23.608696,-46.601406,São Paulo
1370,630,75,3,2,1,1,0,0,1,0,Socorro,rent,apartment,0.0,0.0,São Paulo
800,110,45,2,2,1,1,0,0,0,0,Raposo Tavares,rent,apartment,-23.585634,-46.803746,São Paulo
1200,250,61,2,1,0,0,0,0,0,0,Penha,rent,apartment,-23.5199266,-46.5420364,São Paulo
8000,1100,127,2,3,2,2,0,1,1,0,Lapa,rent,apartment,-23.5373668,-46.7090135,São Paulo
700,0,48,2,2,1,1,0,0,0,0,Cidade Tiradentes,rent,apartment,-23.564882,-46.399215,São Paulo
4000,1800,117,3,2,1,3,0,0,1,0,Tatuapé,rent,apartment,-23.5352452,-46.575463,São Paulo
2000,450,57,2,2,1,1,1,0,1,0,Ipiranga,rent,apartment,-23.603473,-46.607717,São Paulo
650,0,48,2,2,1,1,0,0,0,0,Cidade Tiradentes,rent,apartment,-23.572993,-46.397772,São Paulo
1650,560,65,2,2,1,1,1,0,0,0,Jabaquara,rent,apartment,-23.649341,-46.650397,São Paulo
700,80,30,1,1,0,0,0,0,0,0,São Lucas,rent,apartment,-23.5908727,-46.5435717,São Paulo
1750,453,45,1,1,0,1,0,0,0,0,Bela Vista,rent,apartment,0.0,0.0,São Paulo
1500,180,78,2,2,1,1,1,0,0,0,Penha,rent,apartment,-23.524889,-46.544575,São Paulo
1600,450,62,3,2,1,1,1,1,1,0,São Miguel,rent,apartment,-23.512067,-46.511717,São Paulo
1500,452,55,2,2,1,1,0,0,0,0,Vila Prudente,rent,apartment,-23.582512,-46.588398,São Paulo
628,172,52,2,2,1,1,0,0,0,0,Cidade Tiradentes,rent,apartment,-23.5684,-46.419426,São Paulo
2500,830,53,2,2,1,1,1,0,1,0,Vila Mariana,rent,apartment,-23.598033,-46.632484,São Paulo
1700,898,70,2,2,1,1,1,0,1,0,Medeiros,rent,apartment,-23.600267,-46.729922,São Paulo
2400,350,53,2,2,1,1,0,0,0,0,Vila Guilherme,rent,apartment,-23.51845,-46.601037,São Paulo
950,250,44,1,2,1,1,1,1,1,0,São Mateus,rent,apartment,-23.610523,-46.459041,São Paulo
1600,574,45,1,1,0,1,1,0,1,0,República,rent,apartment,-23.541083,-46.6395418,São Paulo
1999,600,79,3,3,1,2,1,0,1,0,Freguesia do Ó,rent,apartment,-23.502711,-46.696683,São Paulo
1100,600,56,2,2,1,1,1,0,0,0,Cidade Ademar,rent,apartment,-23.669335,-46.662353,São Paulo
800,0,60,2,2,1,1,0,0,0,0,Cidade Tiradentes,rent,apartment,-23.571792,-46.398985,São Paulo
2900,596,76,2,2,1,1,0,0,0,0,Santo Amaro,rent,apartment,-23.649077,-46.704577,São Paulo
4500,980,112,2,2,1,3,0,1,1,0,Água Rasa,rent,apartment,-23.560012,-46.5689728,São Paulo
2600,1350,140,3,2,1,1,0,0,0,0,Bela Vista,rent,apartment,-26.9225709,-49.0606445,São Paulo
1200,583,60,3,1,0,1,0,0,0,0,Pirituba,rent,apartment,0.0,0.0,São Paulo
1750,716,84,2,2,1,2,0,1,1,0,Vila Sônia,rent,apartment,-23.6097397,-46.7501729,São Paulo
1100,0,50,2,1,0,0,0,0,0,0,Mooca,rent,apartment,-23.5539864,-46.6164267,São Paulo
1400,759,84,3,2,1,1,0,0,1,0,Freguesia do Ó,rent,apartment,0.0,0.0,São Paulo
3100,650,114,3,3,1,2,1,1,1,0,Carrão,rent,apartment,-23.551712,-46.545053,São Paulo
5500,2833,184,3,4,3,4,0,0,0,0,Vila Andrade,rent,apartment,-23.630961,-46.7331427,São Paulo
1100,200,77,2,2,1,1,0,0,0,0,Artur Alvim,rent,apartment,-23.528516,-46.465465,São Paulo
1300,513,60,2,1,0,1,0,0,1,0,Freguesia do Ó,rent,apartment,-23.4890726,-46.6987506,São Paulo
1600,0,40,2,2,0,0,0,0,0,0,Vila Guilherme,rent,apartment,-23.5128992,-46.6086883,São Paulo
3000,580,149,2,2,1,1,1,0,0,0,República,rent,apartment,-23.540424,-46.643523,São Paulo
3000,700,85,3,2,1,2,0,1,0,0,Mooca,rent,apartment,-23.556137,-46.6044715,São Paulo
1400,428,46,2,2,1,1,0,0,0,0,Cidade Ademar,rent,apartment,-23.682018,-46.645355,São Paulo
1700,579,69,2,2,1,2,0,0,1,0,Vila Andrade,rent,apartment,-23.626682,-46.74311,São Paulo
1000,458,39,1,2,1,1,0,0,0,0,República,rent,apartment,-23.541864,-46.646081,São Paulo
850,415,50,2,2,1,1,0,0,0,0,Cidade Líder,rent,apartment,-23.562596,-46.478924,São Paulo
1400,465,55,2,2,1,1,1,0,0,0,Rio Pequeno,rent,apartment,-23.559315,-46.748244,São Paulo
1600,599,76,3,2,1,2,1,0,1,0,Sacomã,rent,apartment,-23.6188045,-46.6053452,São Paulo
2800,700,74,2,1,2,1,0,1,1,0,Vila Leopoldina,rent,apartment,-23.5316265,-46.7266332,São Paulo
3650,550,79,3,2,1,2,1,0,1,0,Água Rasa,rent,apartment,0.0,0.0,São Paulo
5500,1600,172,4,3,2,3,1,0,1,0,Vila Leopoldina,rent,apartment,-23.5241522,-46.7335513,São Paulo
1500,680,64,2,1,0,1,0,0,0,0,Jabaquara,rent,apartment,-23.6420549,-46.6434013,São Paulo
4000,800,60,2,1,0,1,1,0,1,0,Consolação,rent,apartment,-23.5576278,-46.6559141,São Paulo
2000,750,100,3,2,1,2,0,0,1,0,Pirituba,rent,apartment,0.0,0.0,São Paulo
3500,1100,115,3,2,1,2,0,0,1,0,Carrão,rent,apartment,-23.549214,-46.5397515,São Paulo
